id,nodeid,nodetype,workgroupid,username,id,name,sgender,parentprojectid,data
4137,node_0.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_0.al"",""visitEndTime"":1393861817000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393861817304,""assessments"":[{""response"":{""id"":""uEOH6H5gM6"",""text"":""During treatment with an antibiotic, all of the bacteria gradually become more resistant to the antibiotic the more they are exposed to it.  They all survive and pass this trait to their offspring."",""autoScoreResult"":{""maxScore"":1}},""id"":""kyGatwL8Zy"",""type"":""radio""},{""response"":{""id"":""EbFb463uaE"",""text"":""All of the individual birds would develop new beaks as they continued to attempt to eat the seeds that are harder to crack open.  All of the birds would survive and reproduce."",""autoScoreResult"":{""maxScore"":1}},""id"":""bJKlnjnZ27"",""type"":""radio""},{""response"":{""id"":""u1mmkUWs6D"",""text"":""Most species living today did not exist at the time life began."",""autoScoreResult"":{""maxScore"":1,""isCorrect"":true}},""id"":""rCwfXhhb1O"",""type"":""radio""},{""response"":{""id"":""HicmKwpJTB"",""text"":""The gene pool becomes more diverse"",""autoScoreResult"":{""maxScore"":1}},""id"":""Ol4jrE6MXI"",""type"":""radio""},{""response"":{""text"":""If we choose different animals then we are creating Moore diversity ""},""id"":""YJVWkwkdRu"",""type"":""text""}],""submit"":false,""isSubmit"":false,""type"":""assessmentlist""}],""visitStartTime"":1393861644000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4138,node_17.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_17.al"",""visitEndTime"":1393861938000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393861938065,""assessments"":[{""response"":{""id"":""mwilZluP7g"",""text"":""She can be absolutely certain that the real airplane will fly well in the rain, but only if her model includes all of the things she thinks might affect how the real airplane flies in the rain."",""autoScoreResult"":{""maxScore"":1}},""id"":""gHnYaEJsRx"",""type"":""radio""},{""response"":{""id"":""4QCHMCBeSw"",""text"":""The small-scale version of the house and the floor plans are both equally good models because they both are representing the same object."",""autoScoreResult"":{""maxScore"":1}},""id"":""5Sl88vyECB"",""type"":""radio""},{""response"":{""id"":""vozN1vcavq"",""text"":""They can conclude that 60F is better than 90F for growing these plants. "",""autoScoreResult"":{""maxScore"":0}},""id"":""ijwuCmUAo2"",""type"":""radio""}],""submit"":false,""isSubmit"":false,""type"":""assessmentlist""}],""visitStartTime"":1393861817000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4139,node_10.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_10.al"",""visitEndTime"":1393862082000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862080054,""assessments"":[{""response"":{""id"":""Km7uidz71B"",""text"":""The average length of their tail will have increased on one part, but not the other. "",""autoScoreResult"":{""maxScore"":1}},""id"":""xuquELx0uX"",""type"":""radio""},{""response"":{""text"":""I predict this change will have taken place because since the move if one sides tail has increased to match the other then the other has to stay the same to wait for the increasing tail to catch up ""},""id"":""egXDDynYbq"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393861938000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4140,node_11.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_11.al"",""visitEndTime"":1393862220000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862216769,""assessments"":[{""response"":{""id"":""tcxPSi2Akc"",""text"":""In general, dominant alleles will be greater in number than recessive alleles on both parts of the island."",""autoScoreResult"":{""maxScore"":1}},""id"":""jf6TONHsd2"",""type"":""radio""},{""response"":{""text"":""Because the dominant alleles are already greater now ""},""id"":""ffNUt2iyDE"",""type"":""text""},{""response"":{""id"":""gOyHhVkmZU"",""text"":""The proportion of dominant and recessive alleles will be roughly 75% to 25%."",""autoScoreResult"":{""maxScore"":1}},""id"":""etjxUgd7Z7"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862082000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4141,node_12.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_12.al"",""visitEndTime"":1393862511000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862508919,""assessments"":[{""response"":{""id"":""tpCiMIbSWT"",""text"":""Chance played a bigger role in one than the other."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""XyKkhFGIPm"",""type"":""radio""},{""response"":{""text"":""Chance played a bigger role nobody spikes because those don't do anything as opposed to the tail which helps the lizards climb trees""},""id"":""xTsQY4z6dL"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862220000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4142,node_13.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_13.al"",""visitEndTime"":1393862571000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862566749,""assessments"":[{""response"":{""text"":""Environment affected this, maybe the sun and the sand was a factor""},""id"":""rVoKNuuAiG"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862511000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4143,node_14.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_14.al"",""visitEndTime"":1393862722000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862722407,""assessments"":[{""response"":{""id"":""mIYVJptkTc"",""text"":""0: Played no role or a negligible role""},""id"":""EzKmtagRGY"",""type"":""radio""},{""response"":{""id"":""rtQhhFONnE"",""text"":""2: Played a major role""},""id"":""litJb54alj"",""type"":""radio""},{""response"":{""id"":""fmdTP5iQke"",""text"":""1: Played a role""},""id"":""nhZOGK8qpO"",""type"":""radio""},{""response"":{""id"":""lke6ExygmR"",""text"":""2: Played a major role""},""id"":""8KJldqvorQ"",""type"":""radio""},{""response"":{""id"":""UXnAKBSSp0"",""text"":""2: Played a major role""},""id"":""w2vbawNnnh"",""type"":""radio""},{""response"":{""id"":""pGhZCBP8qC"",""text"":""0: Played no role or a negligible role""},""id"":""8fiTGm2BnC"",""type"":""radio""},{""response"":null,""id"":""UEW1uYNnVg"",""type"":""text""}],""submit"":false,""isSubmit"":false,""type"":""assessmentlist""}],""visitStartTime"":1393862571000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4144,node_15.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_15.al"",""visitEndTime"":1393862788000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862786403,""assessments"":[{""response"":{""id"":""3SUTt3hC0H"",""text"":""Introducing a new breed of panthers"",""autoScoreResult"":{""maxScore"":0,""isCorrect"":true}},""id"":""lkZj7mtwk4"",""type"":""radio""},{""response"":{""text"":""I think this is better because the new breed of panthers can mate with the old breed therefore producing new offspring while preserving the old panthers at the same time and expanding the population""},""id"":""YiqdDVB0lJ"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862722000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4145,node_18.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_18.al"",""visitEndTime"":1393862932000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862932602,""assessments"":[{""response"":{""id"":""cUxo17cncv"",""text"":""The distance between each child does not affect the average distance they travel."",""autoScoreResult"":{""maxScore"":1}},""id"":""l56D2FAV3d"",""type"":""radio""},{""response"":{""text"":""They all are walking from the same place to the same place therefore they are all going the same distance so the distance between them should not matter ""},""id"":""7zMEOFH1Vm"",""type"":""text""},{""response"":{""id"":""3E2OMIdUFF"",""text"":""Where they are in the line does not affect the distance they have to walk."",""autoScoreResult"":{""maxScore"":1}},""id"":""yOlU6VfZAZ"",""type"":""radio""},{""response"":{""text"":""The tiime may be longer if the kid with the heavy equipment walks slow but the distance will not be affected""},""id"":""AWUGamhWtt"",""type"":""text""}],""submit"":false,""isSubmit"":false,""type"":""assessmentlist""}],""visitStartTime"":1393862788000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4146,node_19.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_19.al"",""visitEndTime"":1393970625000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393970625290,""assessments"":[{""response"":{""id"":""xa00v46q80"",""text"":""Path D"",""autoScoreResult"":{""maxScore"":1}},""id"":""oWovHD6c2V"",""type"":""radio""},{""response"":{""id"":""iON7GXiBl4"",""text"":""Yes he should, because it will increase his chances of reaching to the charging station."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""dOoRm2Fpm0"",""type"":""radio""},{""response"":{""text"":""He only has to go over one die so it doesn't really matter what number he picks""},""id"":""cADFqYQTOz"",""type"":""text""}],""submit"":false,""isSubmit"":false,""type"":""assessmentlist""}],""visitStartTime"":1393970504000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
